0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:32:18 +0700] "GET /LC/management-order HTTP/1.1" 200 20976
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:32:19 +0700] "GET /LC/management-laptop HTTP/1.1" 200 63435
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:33:45 +0700] "GET /LC/home HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:35 +0700] "GET /LC/search?txt=a HTTP/1.1" 200 14380
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:35 +0700] "GET /LC/search?txt=ac HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:38 +0700] "GET /LC/search?txt=a HTTP/1.1" 200 14380
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:38 +0700] "GET /LC/search?txt= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:39 +0700] "GET /LC/search?txt=a HTTP/1.1" 200 14380
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:39 +0700] "GET /LC/search?txt=as HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:40 +0700] "GET /LC/search?txt=asu HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:41 +0700] "GET /LC/search?txt=asus HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:42 +0700] "GET /LC/search?txt=asu HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:42 +0700] "GET /LC/search?txt=as HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:43 +0700] "GET /LC/search?txt=a HTTP/1.1" 200 14380
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:43 +0700] "GET /LC/search?txt= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:45 +0700] "GET /LC/search?txt=l HTTP/1.1" 200 10349
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:45 +0700] "GET /LC/search?txt=lg HTTP/1.1" 200 2004
